Situação;Descrição;Código;Código NCM;CEST;Peso Líquido;Peso Bruto;Altura;Largura;Profundidade;Marca;Modelo;Prazo de calibração;Dias de Crossdocking;Cupom Fiscal (PDV);Marketplace;Tipo do Item (Bloco K);Características
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1352)";PAT1352;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Lacre: 1923553"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1353)";PAT1353;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Lacre: 1923557"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1354)";PAT1354;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Lacre: 1923560"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1355)";PAT1355;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Lacre: 1923562"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1356)";PAT1356;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Lacre: 1923565"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1357)";PAT1357;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Lacre: 1923573"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1358)";PAT1358;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Lacre: 1923587"
Ativo;"MANILHA Q.FIX 3/4"" - 6,5 TON - 1,5KG (PAT1359)";PAT1359;7326.90.90;;0;0;0;0;0;QUALITY FIX;MCA-019-PC;0;0;Não;Não;08 - Ativo Imobilizado;"Polegada: 3/4"", Lacre: 1923596"
Ativo;PARAFUSADEIRA DE IMPACTO B-TEK  BT-DZ13 48V - 2,8KG (PAT1360);PAT1360;8467.29.92;;0;0;0;0;0;B-TEK;BT-DZ13;0;0;Não;Não;08 - Ativo Imobilizado;Voltagem: 48 V
Ativo;PARAFUSADEIRA DE IMPACTO B-TEK  BT-DZ13 48V - 2,8KG (PAT1361);PAT1361;8467.29.92;;0;0;0;0;0;B-TEK;BT-DZ13;0;0;Não;Não;08 - Ativo Imobilizado;Voltagem: 48 V
Ativo;TALHA MANUAL BERG STEEL COMPACTA NT-8 - 3 TON 3 METROS - 19 KG (PAT1362);PAT1362;8425.19.10;;0;0;0;0;0;BERG STEEL;COMPACTA NT-8;0;0;Não;Não;08 - Ativo Imobilizado;Data da Próxima Calibração: 21/08/2026, Situação de uso: Apto
Ativo;TALHA MANUAL BERG STEEL COMPACTA NT-8 - 3 TON 3 METROS - 19 KG (PAT1363);PAT1363;8425.19.10;;0;0;0;0;0;BERG STEEL;COMPACTA NT-8;0;0;Não;Não;08 - Ativo Imobilizado;Faixa de Medição: 3 Toneladas - 3 Metros, Data da Próxima Calibração: PROXIMA CERTIFICAÇÃO: 21/08/2026, Situação de uso: Apto
